student_id,name,gender,join_date,ability_band,study_hours_per_week,overall_attendance,video_completion_rate,average_video_duration,video_sessions,average_quiz_accuracy,average_quiz_score,quiz_attempts,mock_test_average,mock_test_count,average_assignment_score,assignment_delay_average,on_time_submissions,delayed_submissions,missing_submissions,engagement_score,weekly_videos_watched,weekly_forum_posts,weekly_study_sessions,study_hours,performance,low_attendance_flag,low_quiz_accuracy_flag,low_mock_average_flag,low_study_hours_flag,low_assignment_score_flag,high_delay_flag,learning_gap_score,student_rank,learning_category,recommendations,recommendation_summary
S1000,Allison Hill,Male,2024-08-06,Medium,8.646502719632686,0.9666666666666668,0.5,10.7,4,0.7999130434782609,81.3913043478261,23,75.0,2,87.33333333333333,1.3333333333333333,1,5,0,2.4,10.0,2.0,4.0,8.646502719632686,High Performer,False,False,False,True,False,False,0.2157431634907733,162,Good,['Use a daily study schedule with focused time blocks.'],Use a daily study schedule with focused time blocks.
S1001,Noah Rhodes,Female,2025-09-10,High,11.803332075472506,0.9333333333333332,1.0,10.475,4,0.858,90.60857142857144,21,85.0,2,87.5,3.1666666666666665,0,6,0,1.2,10.0,5.0,4.0,11.803332075472506,High Performer,False,False,False,False,False,False,0.1785083364779854,221,Excellent,['Continue the excellent learning habits and maintain steady progress.'],Continue the excellent learning habits and maintain steady progress.
S1002,Angie Henderson,Female,2025-01-11,Low,7.227000244390741,0.6,1.0,7.433333333333334,3,0.6950400000000001,69.0,25,66.0,2,74.33333333333333,4.666666666666667,0,6,0,1.0,5.0,2.0,2.0,7.227000244390741,At Risk,True,False,False,True,False,False,0.3799204993890231,1814,Good,"['Attend more live classes and review missed sessions.', 'Use a daily study schedule with focused time blocks.']",Attend more live classes and review missed sessions. | Use a daily study schedule with focused time blocks.
S1003,Daniel Wagner,Female,2026-02-02,High,9.66153906571669,0.9333333333333332,1.0,9.5,2,0.792,77.89655172413794,29,77.5,4,84.33333333333333,2.1666666666666665,2,4,0,1.3,8.0,0.0,4.0,9.66153906571669,High Performer,False,False,False,True,False,False,0.2234128190023749,590,Good,['Use a daily study schedule with focused time blocks.'],Use a daily study schedule with focused time blocks.
S1004,Cristian Santos,Male,2024-12-22,Medium,11.774285110299411,0.7333333333333333,0.6666666666666666,8.333333333333334,3,0.7946666666666666,75.58333333333333,24,70.25,4,81.33333333333333,2.333333333333333,3,3,0,1.7,7.0,0.0,2.0,11.774285110299411,Average Performer,True,False,False,False,False,False,0.2863309538909182,1047,Good,['Attend more live classes and review missed sessions.'],Attend more live classes and review missed sessions.
S1005,Connie Lawrence,Male,2025-03-02,Low,3.3610844726805835,0.4333333333333333,0.75,14.325,4,0.6172962962962963,60.44444444444444,27,63.75,4,71.0,5.666666666666667,0,6,0,1.0,6.0,0.0,7.0,3.3610844726805835,At Risk,True,False,False,True,False,True,0.4640750665960763,1874,Average,"['Attend more live classes and review missed sessions.', 'Follow a weekly planner to complete assignments on time.', 'Use a daily study schedule with focused time blocks.']",Attend more live classes and review missed sessions. | Follow a weekly planner to complete assignments on time. | Use a daily study schedule with focused time blocks.
S1006,Abigail Shaffer,Male,2024-12-07,Medium,12.29632859944677,0.8,0.75,11.75,4,0.7307857142857143,76.21428571428571,28,78.0,2,76.66666666666667,4.333333333333333,0,6,0,1.7,6.0,2.0,3.0,12.29632859944677,Average Performer,False,False,False,False,False,False,0.2790234642156687,1167,Good,['Continue the excellent learning habits and maintain steady progress.'],Continue the excellent learning habits and maintain steady progress.
S1007,Gina Moore,Female,2026-06-27,Low,8.202061478926549,0.5,0.3333333333333333,3.999666666666666,3,0.6539090909090909,68.0,22,67.0,2,77.5,5.5,0,5,1,1.7,7.0,3.0,5.0,8.202061478926549,At Risk,True,False,False,True,False,True,0.4080721190299563,1664,Average,"['Attend more live classes and review missed sessions.', 'Follow a weekly planner to complete assignments on time.', 'Use a daily study schedule with focused time blocks.']",Attend more live classes and review missed sessions. | Follow a weekly planner to complete assignments on time. | Use a daily study schedule with focused time blocks.
S1008,Gabrielle Davis,Female,2026-03-04,High,18.28506572859425,0.9333333333333332,0.25,11.2,4,0.7838620689655172,81.44827586206897,29,82.5,2,72.5,1.5,1,5,0,1.9,7.0,1.0,6.0,18.28506572859425,High Performer,False,False,False,False,False,False,0.2120453816555259,677,Good,['Continue the excellent learning habits and maintain steady progress.'],Continue the excellent learning habits and maintain steady progress.
S1009,Ryan Munoz,Female,2025-09-17,Medium,10.245225871967715,0.7333333333333333,0.6666666666666666,9.166666666666666,3,0.7585,75.96153846153847,26,75.0,4,84.33333333333333,5.166666666666667,0,6,0,1.1,9.0,0.0,4.0,10.245225871967715,Average Performer,True,False,False,False,False,True,0.2870036019867474,1162,Good,"['Attend more live classes and review missed sessions.', 'Follow a weekly planner to complete assignments on time.']",Attend more live classes and review missed sessions. | Follow a weekly planner to complete assignments on time.
S1010,Monica Herrera,Male,2024-07-30,High,15.87208203549125,0.9333333333333332,1.0,8.533333333333333,3,0.8167931034482759,83.75862068965517,29,79.33333333333333,3,86.5,2.6666666666666665,2,4,0,2.1,7.0,3.0,5.0,15.87208203549125,High Performer,False,False,False,False,False,False,0.1935318638767891,160,Excellent,['Continue the excellent learning habits and maintain steady progress.'],Continue the excellent learning habits and maintain steady progress.
S1011,Jamie Arnold,Other,2026-02-10,High,12.692922673145556,0.9,0.0,9.05,4,0.7625000000000001,77.04166666666667,24,78.66666666666667,3,88.0,3.333333333333333,0,6,0,1.9,7.0,2.0,6.0,12.692922673145556,High Performer,False,False,False,False,False,False,0.2251843599838027,409,Good,['Continue the excellent learning habits and maintain steady progress.'],Continue the excellent learning habits and maintain steady progress.
S1012,Lisa Hensley,Female,2024-10-11,Low,5.807419673576449,0.7,0.6666666666666666,8.733333333333333,3,0.7448888888888888,73.96296296296296,27,56.5,2,77.66666666666667,5.833333333333333,0,6,0,1.6,4.0,0.0,2.0,5.807419673576449,Average Performer,True,False,False,True,False,True,0.3575147841493922,1535,Good,"['Attend more live classes and review missed sessions.', 'Follow a weekly planner to complete assignments on time.', 'Use a daily study schedule with focused time blocks.']",Attend more live classes and review missed sessions. | Follow a weekly planner to complete assignments on time. | Use a daily study schedule with focused time blocks.
